Title,URL,Channel Name,Subscriber Count,Likes,Views,Published Date
10 DAKİKADA TEMEL ANALİZİ ÖĞREN - Temel Analiz Nedir Nasıl Yapılır ? Hızlı Temel Analiz Eğitimi 30,https://www.youtube.com/watch?v=m23iQ3uJrhs,FİNANS VE BORSA,447000,3580,72835,2022-01-05T18:00:18Z
Teknik Analiz Zor (Bu Videoyu İzleyene Kadar),https://www.youtube.com/watch?v=0-zbzyJ73vs,Emir Şahin,190000,12020,269264,2022-05-25T18:29:29Z
"Sıfırdan Teknik Analiz Eğitimi | Bilmeniz Gereken Püf Noktalar , Taktikler 2024 | Başlangıç Rehberi",https://www.youtube.com/watch?v=dxnonNY521c,Doğukan Doğan,61700,1979,44107,2023-04-09T17:15:01Z
Teknik Analiz Eğitimi / Sıfırdan Grafik Okuma ve Yorumlama,https://www.youtube.com/watch?v=VEF_xt-AYaM,Erdem Kaynar,101000,4522,156351,2022-01-01T10:00:21Z
Tradingview Kullanarak Teknik Analiz Yapalım,https://www.youtube.com/watch?v=FiBWzAIX_Kc,Kanal Finans,648000,8828,308064,2019-09-17T16:53:48Z
